measure,temporal_unit,date,group,rate,value
new,3-monthly,2000-01-01,Adult,binary,30.81000486
new,3-monthly,2000-04-01,Adult,binary,30.81774107
new,3-monthly,2000-07-01,Adult,binary,30.88353826
new,3-monthly,2000-10-01,Adult,binary,31.08030995
new,3-monthly,2001-01-01,Adult,binary,
new,3-monthly,2001-04-01,Adult,binary,
new,3-monthly,2001-07-01,Adult,binary,
new,3-monthly,2001-10-01,Adult,binary,
new,3-monthly,2002-01-01,Adult,binary,32.41124489
new,3-monthly,2002-04-01,Adult,binary,32.3914049
new,3-monthly,2002-07-01,Adult,binary,32.87331148
new,3-monthly,2002-10-01,Adult,binary,32.61085743
new,3-monthly,2003-01-01,Adult,binary,31.85743931
new,3-monthly,2003-04-01,Adult,binary,32.22660178
new,3-monthly,2003-07-01,Adult,binary,31.60237582
new,3-monthly,2003-10-01,Adult,binary,31.0080282
new,3-monthly,2004-01-01,Adult,binary,30.3177884
new,3-monthly,2004-04-01,Adult,binary,30.02796447
new,3-monthly,2004-07-01,Adult,binary,29.74695664
new,3-monthly,2004-10-01,Adult,binary,29.79449468
new,3-monthly,2005-01-01,Adult,binary,29.46439762
new,3-monthly,2005-04-01,Adult,binary,29.09887523
new,3-monthly,2005-07-01,Adult,binary,29.13838322
new,3-monthly,2005-10-01,Adult,binary,29.09274091
new,3-monthly,2006-01-01,Adult,binary,28.53249527
new,3-monthly,2006-04-01,Adult,binary,28.6232222
new,3-monthly,2006-07-01,Adult,binary,28.59612449
new,3-monthly,2006-10-01,Adult,binary,28.89799799
new,3-monthly,2007-01-01,Adult,binary,28.66382268
new,3-monthly,2007-04-01,Adult,binary,28.86660445
new,3-monthly,2007-07-01,Adult,binary,29.04061328
new,3-monthly,2007-10-01,Adult,binary,29.75291959
new,3-monthly,2008-01-01,Adult,binary,29.49017898
new,3-monthly,2008-04-01,Adult,binary,29.98765964
new,3-monthly,2008-07-01,Adult,binary,30.22917595
new,3-monthly,2008-10-01,Adult,binary,30.26606341
new,3-monthly,2009-01-01,Adult,binary,29.7809734
new,3-monthly,2009-04-01,Adult,binary,29.33512919
new,3-monthly,2009-07-01,Adult,binary,29.46367021
new,3-monthly,2009-10-01,Adult,binary,29.30527072
new,3-monthly,2010-01-01,Adult,binary,29.54856791
new,3-monthly,2010-04-01,Adult,binary,29.70795633
new,3-monthly,2010-07-01,Adult,binary,29.96869774
new,3-monthly,2010-10-01,Adult,binary,30.09835356
new,3-monthly,2011-01-01,Adult,binary,30.19249357
new,3-monthly,2011-04-01,Adult,binary,30.39815686
new,3-monthly,2011-07-01,Adult,binary,30.3381881
new,3-monthly,2011-10-01,Adult,binary,29.70888015
new,3-monthly,2012-01-01,Adult,binary,29.60206202
new,3-monthly,2012-04-01,Adult,binary,29.61733739
new,3-monthly,2012-07-01,Adult,binary,29.73464839
new,3-monthly,2012-10-01,Adult,binary,29.68398831
new,3-monthly,2013-01-01,Adult,binary,30.11198855
new,3-monthly,2013-04-01,Adult,binary,30.6237083
new,3-monthly,2013-07-01,Adult,binary,30.44218178
new,3-monthly,2013-10-01,Adult,binary,29.53315615
new,3-monthly,2014-01-01,Adult,binary,29.39630047
new,3-monthly,2000-01-01,Adult,adjusted,32.6366538
new,3-monthly,2000-04-01,Adult,adjusted,32.61099829
new,3-monthly,2000-07-01,Adult,adjusted,32.59126099
new,3-monthly,2000-10-01,Adult,adjusted,32.86429382
new,3-monthly,2001-01-01,Adult,adjusted,
new,3-monthly,2001-04-01,Adult,adjusted,
new,3-monthly,2001-07-01,Adult,adjusted,
new,3-monthly,2001-10-01,Adult,adjusted,
new,3-monthly,2002-01-01,Adult,adjusted,33.62279304
new,3-monthly,2002-04-01,Adult,adjusted,33.60848478
new,3-monthly,2002-07-01,Adult,adjusted,33.74356916
new,3-monthly,2002-10-01,Adult,adjusted,33.7380463
new,3-monthly,2003-01-01,Adult,adjusted,33.0834378
new,3-monthly,2003-04-01,Adult,adjusted,33.34327486
new,3-monthly,2003-07-01,Adult,adjusted,32.76496583
new,3-monthly,2003-10-01,Adult,adjusted,32.2488584
new,3-monthly,2004-01-01,Adult,adjusted,31.58830959
new,3-monthly,2004-04-01,Adult,adjusted,31.39433734
new,3-monthly,2004-07-01,Adult,adjusted,31.50892158
new,3-monthly,2004-10-01,Adult,adjusted,31.84966399
new,3-monthly,2005-01-01,Adult,adjusted,31.92543528
new,3-monthly,2005-04-01,Adult,adjusted,31.82140874
new,3-monthly,2005-07-01,Adult,adjusted,31.91165581
new,3-monthly,2005-10-01,Adult,adjusted,31.87391043
new,3-monthly,2006-01-01,Adult,adjusted,31.52562276
new,3-monthly,2006-04-01,Adult,adjusted,31.73886682
new,3-monthly,2006-07-01,Adult,adjusted,31.7019306
new,3-monthly,2006-10-01,Adult,adjusted,31.8948565
new,3-monthly,2007-01-01,Adult,adjusted,31.74960031
new,3-monthly,2007-04-01,Adult,adjusted,31.8029102
new,3-monthly,2007-07-01,Adult,adjusted,31.7492067
new,3-monthly,2007-10-01,Adult,adjusted,32.02123938
new,3-monthly,2008-01-01,Adult,adjusted,31.79408663
new,3-monthly,2008-04-01,Adult,adjusted,31.88309646
new,3-monthly,2008-07-01,Adult,adjusted,31.61133236
new,3-monthly,2008-10-01,Adult,adjusted,31.35000366
new,3-monthly,2009-01-01,Adult,adjusted,31.01388144
new,3-monthly,2009-04-01,Adult,adjusted,30.61243958
new,3-monthly,2009-07-01,Adult,adjusted,30.46202864
new,3-monthly,2009-10-01,Adult,adjusted,30.40162143
new,3-monthly,2010-01-01,Adult,adjusted,30.64030655
new,3-monthly,2010-04-01,Adult,adjusted,30.63393856
new,3-monthly,2010-07-01,Adult,adjusted,30.55060483
new,3-monthly,2010-10-01,Adult,adjusted,30.50645765
new,3-monthly,2011-01-01,Adult,adjusted,30.56318648
new,3-monthly,2011-04-01,Adult,adjusted,30.37978279
new,3-monthly,2011-07-01,Adult,adjusted,30.09735931
new,3-monthly,2011-10-01,Adult,adjusted,29.59031456
new,3-monthly,2012-01-01,Adult,adjusted,29.04583325
new,3-monthly,2012-04-01,Adult,adjusted,29.191255
new,3-monthly,2012-07-01,Adult,adjusted,29.40552418
new,3-monthly,2012-10-01,Adult,adjusted,29.42413249
new,3-monthly,2013-01-01,Adult,adjusted,29.49176253
new,3-monthly,2013-04-01,Adult,adjusted,29.83271036
new,3-monthly,2013-07-01,Adult,adjusted,29.85049535
new,3-monthly,2013-10-01,Adult,adjusted,29.15428618
new,3-monthly,2014-01-01,Adult,adjusted,28.9243993
